agent,alpha,avg_reward,win_rate,avg_ticks,avg_gems,avg_level,stability
movement,0.05,1643.05,7.38,311.39,23.40,5.29,5362.75
movement,0.10,2059.41,7.98,328.64,26.96,6.00,6435.18
movement,0.30,1237.72,5.75,269.15,20.06,4.67,4951.66
movement,0.50,1069.66,4.56,230.42,15.81,3.87,4419.17
movement,0.70,197.49,2.76,173.47,8.95,2.54,1531.73
weapon,0.01,1406.97,5.79,270.32,21.26,4.90,5275.33
weapon,0.05,1882.74,6.65,294.40,23.82,5.42,6168.33
weapon,0.15,1464.99,6.53,291.95,23.30,5.31,5423.63
weapon,0.30,1357.09,5.29,257.14,18.89,4.44,5131.02
weapon,0.50,1022.47,4.47,237.35,16.20,3.89,4466.38
