Episode,Reward,Smoothed
1,-93.9,-93.9
2,-129.8,-111.8
3,-38.2,-87.3
4,68.1,-48.4
5,-44.1,-47.6
6,-55.7,-48.9
7,-65.6,-51.3
8,74.8,-35.5
9,-86.3,-41.2
10,-121.8,-49.2
11,-138.2,-57.3
12,-123.1,-62.8
13,-124.6,-67.6
14,-128.2,-71.9
15,-147.4,-76.9
16,-42.1,-74.7
17,-43.5,-72.9
18,111.9,-62.6
19,-136.8,-66.5
20,80.5,-59.2
21,-108.5,-61.5
22,-41.0,-60.6
23,-124.6,-63.4
24,-133.9,-66.3
25,-129.9,-68.9
26,-102.2,-70.1
27,191.3,-60.5
28,-84.5,-61.3
29,-127.5,-63.6
30,166.7,-55.9
31,-122.0,-58.1
32,-57.9,-58.0
33,-11.8,-56.6
34,-61.4,-56.8
35,475.6,-41.6
36,213.1,-34.5
37,-59.7,-35.2
38,-131.6,-37.7
39,-138.1,-40.3
40,-103.2,-41.9
41,-104.3,-43.4
42,-68.0,-44.0
43,-81.5,-44.8
44,-112.8,-46.4
45,-128.8,-48.2
46,-86.9,-49.1
47,-101.1,-50.2
48,21.6,-48.7
49,23.9,-47.2
50,-127.0,-48.8
51,-58.9,-49.0
52,19.3,-47.7
53,-116.5,-49.0
54,-144.4,-50.7
55,-149.5,-52.5
56,-52.7,-52.5
57,308.4,-46.2
58,-103.7,-47.2
59,-94.4,-48.0
60,-81.6,-48.6
61,-46.7,-48.5
62,-19.2,-48.1
63,192.9,-44.2
64,163.6,-41.0
65,-50.6,-41.1
66,-87.3,-41.8
67,30.2,-40.8
68,-69.9,-41.2
69,-81.9,-41.8
70,42.1,-40.6
71,-104.6,-41.5
72,-44.0,-41.5
73,-53.6,-41.7
74,-118.3,-42.7
75,-162.6,-44.3
76,-129.8,-45.4
77,-132.4,-46.6
78,-94.0,-47.2
79,-122.4,-48.1
80,-134.9,-49.2
81,518.4,-42.2
82,-105.8,-43.0
83,284.8,-39.0
84,-100.7,-39.8
85,-64.3,-40.1
86,-57.9,-40.3
87,-79.8,-40.7
88,136.0,-38.7
89,-46.8,-38.8
90,-14.6,-38.5
91,-31.6,-38.5
92,-103.6,-39.2
93,-101.3,-39.8
94,-92.2,-40.4
95,-74.9,-40.8
96,-60.6,-41.0
97,-106.0,-41.6
98,-61.6,-41.8
99,-73.2,-42.2
100,-106.5,-42.8
101,332.5,-39.1
102,-21.9,-38.9
103,-93.6,-39.4
104,47.6,-38.6
105,612.0,-32.4
106,-143.3,-33.5
107,-88.4,-34.0
108,-122.8,-34.8
109,-69.3,-35.1
110,-70.3,-35.4
111,19.5,-34.9
112,-101.3,-35.5
113,130.8,-34.1
114,-115.3,-34.8
115,506.1,-30.1
116,-77.8,-30.5
117,-39.4,-30.5
118,-87.0,-31.0
119,283.6,-28.4
120,39.1,-27.8
121,-0.8,-27.6
122,-85.6,-28.1
123,-125.9,-28.9
124,-50.7,-29.0
125,316.1,-26.3
126,-94.1,-26.8
127,-121.6,-27.6
128,-141.0,-28.5
129,-78.9,-28.8
130,-123.3,-29.6
131,6008.6,16.5
132,-125.0,15.4
133,-67.7,14.8
134,-102.8,13.9
135,-124.8,12.9
136,198.0,14.3
137,-71.3,13.7
138,521.8,17.3
139,-83.8,16.6
140,-130.3,15.6
141,-145.7,14.4
142,-45.2,14.0
143,-143.0,12.9
144,-126.5,11.9
145,-20.5,11.7
146,-82.5,11.1
147,-29.3,10.8
148,-56.5,10.3
149,1.2,10.3
150,229.8,11.7
151,273.7,13.5
152,191.9,14.6
153,435.4,17.4
154,226.3,18.7
155,-112.2,17.9
156,-95.3,17.2
157,536.5,20.5
158,915.9,26.2
159,-128.5,25.2
160,-112.6,24.3
161,80.3,24.7
162,-36.9,24.3
163,-70.6,23.7
164,-109.9,22.9
165,-68.4,22.3
166,-106.5,21.6
167,123.7,22.2
168,-40.8,21.8
169,-56.4,21.3
170,60.9,21.6
171,1073.1,27.7
172,-133.7,26.8
173,-20.1,26.5
174,56.2,26.7
175,344.2,28.5
176,-135.8,27.6
177,-50.5,27.1
178,-127.2,26.3
179,-34.4,25.9
180,55.9,26.1
181,21.4,26.1
182,337.2,27.8
183,53.1,27.9
184,-49.8,27.5
185,-40.1,27.1
186,-30.3,26.8
187,481.4,29.2
188,184.9,30.1
189,58.7,30.2
190,-78.5,29.6
191,233.1,30.7
192,54.1,30.8
193,69.3,31.0
194,-141.8,30.1
195,73.2,30.4
196,-12.2,30.1
197,637.0,33.2
198,-63.2,32.7
199,-58.4,32.3
200,-71.7,31.8
201,-105.9,31.1
202,0.7,30.9
203,-67.2,30.4
204,-79.2,29.9
205,145.0,30.5
206,-29.0,30.2
207,-22.4,29.9
208,-26.9,29.6
209,3574.3,46.6
210,297.0,47.8
211,60.7,47.9
212,682.0,50.9
213,217.2,51.6
214,-2.8,51.4
215,-51.8,50.9
216,19.8,50.8
217,579.3,53.2
218,-24.6,52.8
219,165.0,53.3
220,182.2,53.9
221,-54.2,53.4
222,-23.8,53.1
223,-106.1,52.4
224,-88.6,51.8
225,-40.6,51.3
226,-66.6,50.8
227,-79.0,50.2
228,189.1,50.9
229,-6.5,50.6
230,-40.2,50.2
231,-62.0,49.7
232,-85.8,49.1
233,58.3,49.2
234,412.7,50.7
235,118.5,51.0
236,-24.8,50.7
237,-22.0,50.4
238,-107.6,49.7
239,-112.4,49.1
240,-53.1,48.6
241,53.3,48.6
242,-86.7,48.1
243,27.7,48.0
244,-22.4,47.7
245,73.9,47.8
246,50.3,47.8
247,504.8,49.7
248,972.2,53.4
249,-71.8,52.9
250,55.5,52.9
251,-14.2,52.6
252,389.2,54.0
253,-35.9,53.6
254,196.0,54.2
255,-6.7,53.9
256,-127.6,53.2
257,5040.7,72.6
258,-57.2,72.1
259,-34.4,71.7
260,309.0,72.6
261,542.9,74.4
262,-76.0,73.9
263,321.9,74.8
264,-87.6,74.2
265,-127.5,73.4
266,324.5,74.4
267,569.9,76.2
268,259.9,76.9
269,-148.4,76.1
270,-29.0,75.7
271,173.8,76.1
272,380.9,77.2
273,157.7,77.5
274,-81.2,76.9
275,-0.0,76.6
276,-24.9,76.2
277,-55.4,75.8
278,-44.5,75.3
279,-139.2,74.6
280,-55.7,74.1
281,42.8,74.0
282,-43.3,73.6
283,13.1,73.4
284,450.3,74.7
285,-103.7,74.1
286,-13.5,73.8
287,-35.6,73.4
288,29.1,73.2
289,-93.9,72.6
290,-111.6,72.0
291,475.2,73.4
292,-91.2,72.8
293,16.2,72.6
294,17.2,72.4
295,-65.4,72.0
296,-61.0,71.5
297,-124.8,70.9
298,-38.5,70.5
299,-13.7,70.2
300,170.8,70.6
301,-64.7,70.1
302,447.2,71.4
303,-102.3,70.8
304,473.0,72.1
305,-74.3,71.6
306,-49.4,71.2
307,-114.2,70.6
308,-76.8,70.1
309,39.9,70.0
310,143.6,70.3
311,179.6,70.6
312,-89.0,70.1
313,155.4,70.4
314,559.0,72.0
315,-142.8,71.3
316,107.0,71.4
317,10.4,71.2
318,20.0,71.0
319,-148.4,70.3
320,671.4,72.2
321,1037.1,75.2
322,-90.8,74.7
323,-132.8,74.1
324,-42.1,73.7
325,-135.2,73.1
326,-64.0,72.6
327,-48.0,72.3
328,-62.6,71.9
329,12.3,71.7
330,-66.4,71.3
331,-125.6,70.7
332,-100.9,70.2
333,4755.4,84.2
334,55.0,84.1
335,-120.4,83.5
336,-51.8,83.1
337,-120.7,82.5
338,5282.7,97.9
339,110.4,97.9
340,-75.1,97.4
341,-126.1,96.8
342,336.8,97.5
343,-73.6,97.0
344,80.9,96.9
345,-110.0,96.3
346,947.4,98.8
347,-124.6,98.2
348,-51.2,97.7
349,-14.5,97.4
