Metric,Value
Episodes,200000
Wins,23937
Win Rate,12.00%
Boss Kills,23937
axe,75091
books,70291
wand,62055
whip,69175
,
Episode,Reward
1,-93.9
2,-129.8
3,-38.2
4,68.1
5,-44.1
6,-55.7
7,-65.6
8,74.8
9,-86.3
10,-121.8
11,-138.2
12,-123.1
13,-124.6
14,-128.2
15,-147.4
16,-42.1
17,-43.5
18,111.9
19,-136.8
20,80.5
21,-108.5
22,-41
23,-124.6
24,-133.9
25,-129.9
26,-102.2
27,191.3
28,-84.5
29,-127.5
30,166.7
31,-122
32,-57.9
33,-11.8
34,-61.4
35,475.6
36,213.1
37,-59.7
38,-131.6
39,-138.1
40,-103.2
41,-104.3
42,-68
43,-81.5
44,-112.8
45,-128.8
46,-86.9
47,-101.1
48,21.6
49,23.9
50,-127
51,-58.9
52,19.3
53,-116.5
54,-144.4
55,-149.5
56,-52.7
57,308.4
58,-103.7
59,-94.4
60,-81.6
61,-46.7
62,-19.2
63,192.9
64,163.6
65,-50.6
66,-87.3
67,30.2
68,-69.9
69,-81.9
70,42.1
71,-104.6
72,-44
73,-53.6
74,-118.3
75,-162.6
76,-129.8
77,-132.4
78,-94
79,-122.4
80,-134.9
81,518.4
82,-105.8
83,284.8
84,-100.7
85,-64.3
86,-57.9
87,-79.8
88,136
89,-46.8
90,-14.6
91,-31.6
92,-103.6
93,-101.3
94,-92.2
95,-74.9
96,-60.6
97,-106
98,-61.6
99,-73.2
100,-106.5
101,332.5
102,-21.9
103,-93.6
104,47.6
105,612
106,-143.3
107,-88.4
108,-122.8
109,-69.3
110,-70.3
111,19.5
112,-101.3
113,130.8
114,-115.3
115,506.1
116,-77.8
117,-39.4
118,-87
119,283.6
120,39.1
121,-0.8
122,-85.6
123,-125.9
124,-50.7
125,316.1
126,-94.1
127,-121.6
128,-141
129,-78.9
130,-123.3
131,6008.6
132,-125
133,-67.7
134,-102.8
135,-124.8
136,198
137,-71.3
138,521.8
139,-83.8
140,-130.3
141,-145.7
142,-45.2
143,-143
144,-126.5
145,-20.5
146,-82.5
147,-29.3
148,-56.5
149,1.2
150,229.8
151,273.7
152,191.9
153,435.4
154,226.3
155,-112.2
156,-95.3
157,536.5
158,915.9
159,-128.5
160,-112.6
161,80.3
162,-36.9
163,-70.6
164,-109.9
165,-68.4
166,-106.5
167,123.7
168,-40.8
169,-56.4
170,60.9
171,1073.1
172,-133.7
173,-20.1
174,56.2
175,344.2
176,-135.8
177,-50.5
178,-127.2
179,-34.4
180,55.9
181,21.4
182,337.2
183,53.1
184,-49.8
185,-40.1
186,-30.3
187,481.4
188,184.9
189,58.7
190,-78.5
191,233.1
192,54.1
193,69.3
194,-141.8
195,73.2
196,-12.2
197,637
198,-63.2
199,-58.4
200,-71.7
201,-105.9
202,0.7
203,-67.2
204,-79.2
205,145
206,-29
207,-22.4
208,-26.9
209,3574.3
210,297
211,60.7
212,682
213,217.2
214,-2.8
215,-51.8
216,19.8
217,579.3
218,-24.6
219,165
220,182.2
221,-54.2
222,-23.8
223,-106.1
224,-88.6
225,-40.6
226,-66.6
227,-79
228,189.1
229,-6.5
230,-40.2
231,-62
232,-85.8
233,58.3
234,412.7
235,118.5
236,-24.8
237,-22
238,-107.6
239,-112.4
240,-53.1
241,53.3
242,-86.7
243,27.7
244,-22.4
245,73.9
246,50.3
247,504.8
248,972.2
249,-71.8
250,55.5
251,-14.2
252,389.2
253,-35.9
254,196
255,-6.7
256,-127.6
257,5040.7
258,-57.2
259,-34.4
260,309
261,542.9
262,-76
263,321.9
264,-87.6
265,-127.5
266,324.5
267,569.9
268,259.9
269,-148.4
270,-29
271,173.8
272,380.9
273,157.7
274,-81.2
275,0
276,-24.9
277,-55.4
278,-44.5
279,-139.2
280,-55.7
281,42.8
282,-43.3
283,13.1
284,450.3
285,-103.7
286,-13.5
287,-35.6
288,29.1
289,-93.9
290,-111.6
291,475.2
292,-91.2
293,16.2
294,17.2
295,-65.4
296,-61
297,-124.8
298,-38.5
299,-13.7
300,170.8
301,-64.7
302,447.2
303,-102.3
304,473
305,-74.3
306,-49.4
307,-114.2
308,-76.8
309,39.9
310,143.6
311,179.6
312,-89
313,155.4
314,559
315,-142.8
316,107
317,10.4
318,20
319,-148.4
320,671.4
321,1037.1
322,-90.8
323,-132.8
324,-42.1
325,-135.2
326,-64
327,-48
328,-62.6
329,12.3
330,-66.4
331,-125.6
332,-100.9
333,4755.4
334,55
335,-120.4
336,-51.8
337,-120.7
338,5282.7
339,110.4
340,-75.1
341,-126.1
342,336.8
343,-73.6
344,80.9
345,-110
346,947.4
347,-124.6
348,-51.2
349,-14.5
350,-112.1
351,470.9
352,229.5
353,-25.2
354,-114.7
355,-85.7
356,312
357,-94.9
358,390.6
359,709.3
360,-97.5
361,-92.5
362,32.6
363,-40.1
364,-126.4
365,18.1
366,240.8
367,35.8
368,-98.4
369,-82.8
370,-58.1
371,-45.8
372,-132.5
373,-5.4
374,-67.3
375,-101.3
376,22.3
377,72.7
378,-41
379,42.5
380,-35.6
381,-23
382,-136.8
383,98.5
384,24.6
385,17.7
386,16.1
387,-23.9
388,779.9
389,-85.7
390,-70.1
391,-64.2
392,-146.3
393,432.4
394,-102.2
395,279.1
396,-96.4
397,-55
398,-107.4
399,2.1
400,-12.9
401,-82.9
402,-141.9
403,21.2
404,-72.7
405,-116.9
406,-73.2
407,-67.1
408,1.3
409,-58.7
410,66.2
411,-127.9
412,451.2
413,238.8
414,24.9
415,36.3
416,-10.6
417,2.5
418,-20.6
419,-13.8
420,-36.1
421,-66.7
422,292.2
423,-29.6
424,-91.5
425,388.8
426,-95.3
427,-126.1
428,64.6
429,-46.1
430,683.3
431,54.1
432,-119.7
433,-83.9
434,-113.1
435,46.3
436,1022.6
437,282.3
438,-75.5
439,-37
440,-98.9
441,-57.3
442,71.8
443,70.9
444,-135.6
445,-43.5
446,5031.4
447,-66.9
448,-115.1
449,-60.1
450,-107.4
451,-31.2
452,190.2
453,-54.1
454,93.6
455,-111.4
456,363.2
457,69
458,-17.9
459,290.4
460,23.3
461,-87.5
462,236.1
463,-142.7
464,11209.8
465,-6.4
466,245.8
467,300.3
468,-75.6
469,8.2
470,87
471,18.3
472,130.2
473,1.8
474,476.5
475,110.5
476,271.8
477,-96.3
478,-115.2
479,17
480,-102.1
481,-117.7
482,-63.4
483,359.5
484,-19.2
485,469
486,10322.9
487,-87.3
488,-64.8
489,-115.9
490,-53.2
491,-89.9
492,-31
493,639.5
494,-44.9
495,-137.7
496,-12.7
497,-83.9
498,186.7
499,-15.6
500,-12.8
501,-106.7
502,-58.8
503,-2.7
504,3.2
505,-8.3
506,338.5
507,-115.2
508,-7.9
509,-90.4
510,289.4
511,28
512,23.3
513,2.5
514,87.6
515,17.1
516,-136.8
517,94.9
518,-63.5
519,-39.4
520,447.5
521,-123.7
522,-78.1
523,-56.4
524,-57.9
525,52.7
526,-11.5
527,22.3
528,130.4
529,-61.3
530,74.1
531,-37.2
532,-77.8
533,23.5
534,-40.6
535,-66.9
536,471.6
537,-18.9
538,-31
539,-51.3
540,1.4
541,259.7
542,-87.2
543,102.4
544,35.1
545,401.8
546,218.3
547,-103.7
548,431.9
549,-54
550,-93.6
551,-3.8
552,-70.2
553,207.8
554,-112.7
555,495.4
556,-61.9
557,288.1
558,285.9
559,-8.6
560,-41.5
561,156.9
562,249.5
563,-39.5
564,-147.5
565,-43.8
566,79.5
567,97.5
568,390.3
569,13.4
570,-69.1
571,-72.5
572,292.8
573,324.8
574,-81.5
575,74.1
576,54.3
577,-65.2
578,67.1
579,167.2
580,68.4
581,-40.1
582,18.9
583,-25.9
584,-19.5
585,-91.7
586,-83.7
587,-108.9
588,-53.6
589,291.7
590,-66.4
591,-95.1
592,-92.2
593,75.5
594,-65.7
595,4.2
596,-71.7
597,122.5
598,379.8
599,397.4
600,238.8
601,-82.6
602,-41.6
603,12.5
604,-26.2
605,174
606,-66
607,0.8
608,33.6
609,-63.2
610,-27.6
611,-126.3
612,172.9
613,-61.6
614,20
615,-50.3
616,8414.3
617,6
618,-4.7
619,219
620,-55.7
621,-4.8
622,-6.4
623,-30.1
624,-40.7
625,-69.7
626,196.3
627,476.9
628,-8.1
629,5975.2
630,-20.1
631,-11.2
632,45.8
633,496
634,20.4
635,-10.3
636,275.2
637,-39.5
638,774.4
639,271.7
640,-66.9
641,116.4
642,-123.4
643,-45.2
644,-4.5
645,-55
646,-27.6
647,353.2
648,758.7
649,15.5
650,-71.4
651,163.9
652,180.7
653,-87.1
654,-122.9
655,511
656,20.5
657,-91.2
658,19.6
659,20.1
660,-14.1
661,45.4
662,219.8
663,-22.3
664,-51.5
665,40.4
666,459.2
667,7.4
668,53.8
669,-12
670,0.9
671,3.8
672,63.5
673,-91.8
674,24.6
675,4959.5
676,-64.9
677,434.5
678,-68.3
679,233.6
680,-14.8
681,176.7
682,25.7
683,83.1
684,-90.8
685,-32.9
686,12.1
687,-41.8
688,29.8
689,6.1
690,101.7
691,-103.1
692,-9.1
693,-15.6
694,40.6
695,-42.5
696,-1.3
697,-5.5
698,-61.4
699,-37.2
700,1.3
701,-33.8
702,-10.1
703,20
704,206
705,406.7
706,66.5
707,0.7
708,-57.6
709,-62.8
710,4.3
711,363.9
712,24.5
713,208.8
714,215.9
715,99.1
716,10855.6
717,207.3
718,-18.5
719,-97.1
720,-94.1
721,-24.9
722,-44.7
723,35.4
724,-1.1
725,-110.1
726,-5.3
727,-123.2
728,-90.1
729,42.6
730,-124.9
731,-83.7
732,-132.6
733,14.3
734,287.3
735,-96.7
736,37.9
737,23.4
738,-8.9
739,-23.6
740,20.9
741,-71.4
742,-5.1
743,115.5
744,-100.3
745,-49.9
746,-65
747,-67.9
748,-17.5
749,71.5
750,32.3
751,21.6
752,11.2
753,18.4
754,185.1
755,17.4
756,203.9
757,-68.7
758,479.1
759,573.1
760,235.8
761,-6.6
762,137.7
763,-8.5
764,-91.7
765,-54.7
766,-3.7
767,-39.2
768,-31.3
769,-56.6
770,-71.9
771,121.4
772,281.5
773,-55
774,-125.4
775,-36.8
776,-23.3
777,120.2
778,-1.8
779,671.5
780,100.4
781,404.7
782,-19.8
783,-84.2
784,451.8
785,54.1
786,-12.1
787,22
788,-50.9
789,67.2
790,41.1
791,195.1
792,-50.2
793,-29.4
794,4600.4
795,26.7
796,-44.6
797,-3.9
798,-113.6
799,-113.1
800,13.7
801,26.6
802,73.3
803,-85.3
804,205.1
805,0.5
806,170.2
807,-45
808,55.2
809,166.5
810,-69.3
811,-77.6
812,181.3
813,-45.1
814,-56.5
815,52
816,-53.1
817,135.5
818,35.1
819,-89.9
820,-40.6
821,19
822,-126.1
823,-22.5
824,-65.3
825,289.6
826,10.9
827,160.3
828,10.5
829,386.4
830,53.6
831,406.6
832,-143.4
833,24.9
834,-77.1
835,-58.5
836,-22
837,61.7
838,-39.1
839,-16.6
840,125.5
841,-84.7
842,-34.6
843,500.1
844,-56.9
845,295.6
846,9.5
847,18.4
848,253.1
849,843.1
850,-81.7
851,59.3
852,4192.4
853,215.5
854,442.2
855,541.5
856,-114.4
857,-30.8
858,-15.8
859,1
860,152.1
861,-92.6
862,-103.9
863,-48
864,-58.1
865,-8.9
866,-0.8
867,-1
868,240.8
869,494.3
870,-92.5
871,772.8
